File,Class,isDC,isGC
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-record-utils.nifi-hadoop-record-utils.src.main.java.org.apache.nifi.processors.hadoop.AbstractFetchHDFSRecord,AbstractFetchHDFSRecord,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-record-utils.nifi-hadoop-record-utils.src.main.java.org.apache.nifi.processors.hadoop.AbstractPutHDFSRecord,AbstractPutHDFSRecord,1,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-record-utils.nifi-hadoop-record-utils.src.main.java.org.apache.nifi.processors.hadoop.exception.InvalidSchemaException,InvalidSchemaException,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-record-utils.nifi-hadoop-record-utils.src.main.java.org.apache.nifi.processors.hadoop.exception.RecordReaderFactoryException,RecordReaderFactoryException,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-record-utils.nifi-hadoop-record-utils.src.main.java.org.apache.nifi.processors.hadoop.exception.FailureException,FailureException,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-reporting-utils.src.main.java.org.apache.nifi.reporting.util.provenance.ComponentMapHolder,ComponentMapHolder,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-reporting-utils.src.main.java.org.apache.nifi.reporting.util.provenance.ProvenanceEventConsumer,ProvenanceEventConsumer,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-syslog-utils.src.test.java.org.apache.nifi.syslog.TestSyslogParser,TestSyslogParser,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-syslog-utils.src.test.java.org.apache.nifi.syslog.StrictSyslog5424ParserOmitPolicyTest,StrictSyslog5424ParserOmitPolicyTest,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-syslog-utils.src.test.java.org.apache.nifi.syslog.BaseStrictSyslog5424ParserTest,BaseStrictSyslog5424ParserTest,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-syslog-utils.src.test.java.org.apache.nifi.syslog.StrictSyslog5424ParserNullPolicyTest,StrictSyslog5424ParserNullPolicyTest,1,0
