File,Class,isDC,isGC
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkBrokerDetachTest,NetworkBrokerDetachTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkConnectionsTest,NetworkConnectionsTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkTestSupport,NetworkTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkReconnectTest,NetworkReconnectTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.MulticastNetworkTest,MulticastNetworkTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkRestartTest,NetworkRestartTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkFailoverTest,NetworkFailoverTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.FailoverStaticNetworkTest,FailoverStaticNetworkTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.ForwardingBridgeTest,ForwardingBridgeTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkLoadTest,NetworkLoadTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkDestinationFilterTest,NetworkDestinationFilterTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.DuplexNetworkMBeanTest,DuplexNetworkMBeanTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.DynamicallyIncludedDestinationsDuplexNetworkTest,DynamicallyIncludedDestinationsDuplexNetworkTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.SSHTunnelNetworkReconnectTest,SSHTunnelNetworkReconnectTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.SimpleNetworkTest,SimpleNetworkTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkRestartPlainTest,NetworkRestartPlainTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.DemandForwardingBridgeTest,DemandForwardingBridgeTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.CompressionOverNetworkTest,CompressionOverNetworkTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.BrokerNetworkWithStuckMessagesTest,BrokerNetworkWithStuckMessagesTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.DemandForwardingBridgeFilterTest,DemandForwardingBridgeFilterTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkRemovesSubscriptionsTest,NetworkRemovesSubscriptionsTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.NetworkRemovesSubscriptionsTest,DummyMessageListener,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.QueueBridgeXBeanTest,QueueBridgeXBeanTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.QueueBridgeStandaloneReconnectTest,QueueBridgeStandaloneReconnectTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.TopicOutboundBridgeReconnectTest,TopicOutboundBridgeReconnectTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.TopicBridgeSpringTest,TopicBridgeSpringTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.TopicBridgeXBeanTest,TopicBridgeXBeanTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.QueueOutboundBridgeReconnectTest,QueueOutboundBridgeReconnectTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.TopicBridgeStandaloneReconnectTest,TopicBridgeStandaloneReconnectTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.network.jms.QueueBridgeTest,QueueBridgeTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.xbean.MultipleTestsWithXBeanFactoryBeanTest,MultipleTestsWithXBeanFactoryBeanTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.xbean.MultipleTestsWithEmbeddedBrokerAndPersistenceTest,MultipleTestsWithEmbeddedBrokerAndPersistenceTest,1,0
