,Unnamed: 0,Project,File,Class,Code,isDC,isGC
1,1,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\console\command\store\amq\AMQJournalToolCommand.,AMQJournalToolCommand,"public class AMQJournalToolCommand implements Command { private CommandContext context; Override public String getName() { return journal-audit ; } Override public String getOneLineDescription() { return Allows you to view records stored in the persistent journal ; } public void execute(List<String> tokens) throws Exception { AMQJournalTool consumerTool = new AMQJournalTool(); String args[] = new String[tokens size()]; tokens toArray(args); String[] directories = CommandLineSupport setOptions(consumerTool, args); for (int i = 0; i < directories length; i++) { consumerTool getDirs() add(new File(directories[i])); } consumerTool execute(); } public void setCommandContext(CommandContext context) { this context = context; } }",1.0,
2,2,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\console\command\store\amq\CustomResourceLoader.,CustomResourceLoader,"public class CustomResourceLoader extends ResourceLoader { private final static ThreadLocal<HashMap<String, String>> resourcesTL = new ThreadLocal<HashMap<String, String>>(); private final FileResourceLoader fileResourceLoader = new FileResourceLoader(); Override public void commonInit(RuntimeServices rs, ExtendedProperties configuration) { super commonInit(rs, configuration); fileResourceLoader commonInit(rs, configuration); } public void init( ExtendedProperties configuration) { fileResourceLoader init(configuration); this setCachingOn(true); } public synchronized InputStream getResourceStream( String name ) throws ResourceNotFoundException { InputStream result = null; if (name == null || name length() == 0) { throw new ResourceNotFoundException ( No template name provided ); } String value = null; HashMap<String, String> resources = resourcesTL get(); if( resources!=null ) { value = resources get(name); } if( value == null ) { result = this fileResourceLoader getResourceStream(name); } else { try { result = new ByteArrayInputStream(value getBytes()); } catch( Exception e ) { throw new ResourceNotFoundException( e getMessage() ); } } return result; } public boolean isSourceModified(Resource resource) { return false; } public long getLastModified(Resource resource) { return 0; } static public HashMap<String, String> getResources() { return resourcesTL get(); } static public void setResources(HashMap<String, String> arg0) { resourcesTL set(arg0); } }",1.0,
4,4,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\console\command\store\amq\MessageBodyFormatter.,MessageBodyFormatter,"public class MessageBodyFormatter { final ActiveMQMessage message; public MessageBodyFormatter(ActiveMQMessage message) { this message=message; } Override public String toString() { try { switch (message getDataStructureType()) { case ActiveMQMessage DATA STRUCTURE TYPE return ; case ActiveMQBlobMessage DATA STRUCTURE TYPE ActiveMQBlobMessage blob = (ActiveMQBlobMessage) message; return blob getRemoteBlobUrl(); case ActiveMQMapMessage DATA STRUCTURE TYPE ActiveMQMapMessage map = (ActiveMQMapMessage)message; return map getContentMap() toString(); case ActiveMQTextMessage DATA STRUCTURE TYPE ActiveMQTextMessage text = (ActiveMQTextMessage)message; return text getText(); case ActiveMQBytesMessage DATA STRUCTURE TYPE case ActiveMQObjectMessage DATA STRUCTURE TYPE case ActiveMQStreamMessage DATA STRUCTURE TYPE ByteSequence data = message getContent(); return binary payload {length= +data getLength()+ , compressed= +message isCompressed()+ } ; } } catch (JMSException e) { } return ; } }",1.0,
5,5,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\console\command\store\amq\reader\AMQIterator.,AMQIterator,"class AMQIterator implements Iterator<Message>{ private AMQReader reader; private BooleanExpression expression; private MessageLocation currentLocation; private MessageLocation nextLocation; private boolean valid=true; AMQIterator(AMQReader reader, BooleanExpression expression){ this reader=reader; this expression=expression; } public boolean hasNext() { try { this nextLocation = reader getNextMessage(currentLocation); Message next = nextLocation != null nextLocation getMessage() null; if (expression == null) { return next != null; } else { while (next != null) { MessageEvaluationContext context = new MessageEvaluationContext(); context setMessageReference((MessageReference) next); if (expression matches(context)) { return true; } this nextLocation = reader getNextMessage(currentLocation); next = nextLocation != null nextLocation getMessage() null; } valid=false; return false; } } catch (Exception e) { throw new RuntimeException( Failed to get next message from reader , e); } } public Message next() { if (valid && (nextLocation != null || hasNext())) { this currentLocation=nextLocation; return nextLocation getMessage(); } return null; } public void remove() { throw new IllegalStateException( Not supported ); } }",1.0,
7,7,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\console\command\store\amq\reader\MessageLocation.,MessageLocation,class MessageLocation { private Message message; private Location location; public Location getLocation() { return location; } public void setLocation(Location location) { this location = location; } public Message getMessage() { return message; } public void setMessage(Message message) { this message = message; } },1.0,
8,8,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\BytesMarshaller.,BytesMarshaller,"public class BytesMarshaller implements Marshaller { public void writePayload(Object object, DataOutput dataOut) throws IOException { byte[] data = (byte[])object; dataOut writeInt(data length); dataOut write(data); } public Object readPayload(DataInput dataIn) throws IOException { int size = dataIn readInt(); byte[] data = new byte[size]; dataIn readFully(data); return data; } }",1.0,
10,10,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\ContainerId.,ContainerId,"public class ContainerId implements Externalizable { private static final long serialVersionUID = -8883779541021821943L; private Object key; private String dataContainerName; public ContainerId() { } public ContainerId(Object key, String dataContainerName) { this key = key; this dataContainerName = dataContainerName; } public String getDataContainerName() { return dataContainerName; } public Object getKey() { return key; } public int hashCode() { return key hashCode() ^ dataContainerName hashCode(); } public boolean equals(Object obj) { if (obj == null || obj getClass() != ContainerId class) { return false; } ContainerId other = (ContainerId)obj; return other key equals(this key) && other dataContainerName equals(this dataContainerName); } public void writeExternal(ObjectOutput out) throws IOException { out writeUTF(getDataContainerName()); out writeObject(key); } public void readExternal(ObjectInput in) throws IOException, ClassNotFoundException { dataContainerName = in readUTF(); key = in readObject(); } public String toString() { return CID{ + dataContainerName + + key + } ; } }",1.0,
11,11,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\MessageAckWithLocation.,MessageAckWithLocation,"public final class MessageAckWithLocation extends MessageAck { public final Location location; public MessageAckWithLocation(MessageAck ack, Location location) { ack copy(this); this location = location; } }",1.0,
12,12,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\MessageIdMarshaller.,MessageIdMarshaller,"public class MessageIdMarshaller implements Marshaller<MessageId> { public void writePayload(MessageId object, DataOutput dataOut) throws IOException { dataOut writeUTF(object toString()); } public MessageId readPayload(DataInput dataIn) throws IOException { return new MessageId(dataIn readUTF()); } }",1.0,
15,15,data,\smellybot\activemq\activemq-amq-store\src\main\java\org\apache\activemq\kaha\RuntimeStoreException.,RuntimeStoreException,"public class RuntimeStoreException extends RuntimeException { private static final long serialVersionUID = 8807084681372365173L; public RuntimeStoreException() { super(); } public RuntimeStoreException(String message) { super(message); } public RuntimeStoreException(String message, Throwable cause) { super(message, cause); } public RuntimeStoreException(Throwable cause) { super(cause); } }",1.0,
