File,Method,isFE,isLM
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,getEndpointInfo,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,getExecutor,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,setExecutor,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,getInvoker,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,setInvoker,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,getDataBinding,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,setDataBinding,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,getEndpoints,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,setEndpoints,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceImpl,setProperties,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getBus,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setBus,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setServiceName,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getServiceName,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setEnableStaticResolution,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,create,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getExecutor,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setExecutor,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getInvoker,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setInvoker,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getClassResourceInfo,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getRealClassResourceInfo,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setResourceClass,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setUserResources,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setUserResourcesWithServiceClass,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,userResourcesAsMap,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,createResourceInfo,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setResourceClasses,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setResourceClassesFromBeans,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,getCreatedFromModel,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,initializeServiceModel,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,createInvoker,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSServiceFactoryBean,setService,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSBindingFactory,createBinding,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSBindingFactory,createBindingInfo,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,invoke,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,persistRoots,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,handleFault,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,getTemplateValues,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,isServiceObjectRequestScope,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,getActualServiceObject,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,checkResultObject,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.JAXRSInvoker,pushOntoStack,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,getBus,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setServiceName,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,checkBindingFactory,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setBus,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,createEndpointInfo,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,createBindingInfo,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,getServiceFactory,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setServiceFactory,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,createEndpoint,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setSchemaLocation,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setSchemaLocations,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,,1,0
