File,Method,isFE,isLM
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageConsumer,getSession,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageConsumer,getPollingConsumer,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageConsumer,createMessage,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageConsumer,createConsumer,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageConsumer,process,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageConsumer,checkClosed,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageProducer,getDestination,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageProducer,getEndpoint,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageProducer,close,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageProducer,send,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelMessageProducer,checkClosed,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueueReceiver,getQueue,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelTopicSubscriber,getTopic,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelTopicSubscriber,getNoLocal,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelConnectionFactory,getCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelConnectionFactory,setCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelConnectionFactory,createActiveMQConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelConnection,getCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelConnection,setCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueue,getQueueName,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueue,createSender,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueue,createReceiver,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,toString,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createConsumer,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createConsumer,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createSubscriber,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createDurableSubscriber,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createReceiver,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createProducer,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createPublisher,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,createSender,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,getUri,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,setUri,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,getEndpoint,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,setEndpoint,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,getCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,setCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,getBinding,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,setBinding,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,resolveEndpoint,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelDestination,resolveCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueueSender,getQueue,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueueSender,send,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.CamelQueueSender,send,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,activeMQComponent,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setBrokerURL,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setUserName,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setPassword,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,isExposeAllQueues,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setExposeAllQueues,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setUsePooledConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setUseSingleConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,addPooledConnectionFactoryService,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,addSingleConnectionFactory,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,convertPathToActualDestination,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,doStart,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,doStop,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,setConfiguration,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQComponent,createConfiguration,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,destroy,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,getCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,setCamelContext,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,getConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,setConnectionFactory,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,setComponent,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,addQueue,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,removeQueue,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,addTopic,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.CamelEndpointLoader,removeTopic,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,getBrokerURL,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,setBrokerURL,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,isUseSingleConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,getUserName,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,setUserName,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,getPassword,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,setPassword,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,setUseSingleConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,isUsePooledConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,setUsePooledConnection,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,createTransactionManager,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,setActiveMQComponent,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,createConnectionFactory,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.component.ActiveMQConfiguration,,1,1
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.IdentityMessageReuseConverter,fromMessage,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.IdentityMessageReuseConverter,toMessage,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQMessageConverter,toMessage,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQMessageConverter,toProcessor,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQMessageConverter,process,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQMessageConverter,createActiveMQMessage,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQMessageConverter,getBinding,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQMessageConverter,setBinding,1,0
activemq.activemq-camel.src.main.java.org.apache.activemq.camel.converter.ActiveMQConverter,toDestination,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.plist.PListImplTest,createPListStore,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.plist.PListImplTest,createConcurrentAddIteratePListStore,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.plist.PListImplTest,createConcurrentAddRemovePListStore,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.plist.PListImplTest,createConcurrentAddRemoveWithPreloadPListStore,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.plist.PListImplTest,createConcurrentAddIterateRemovePListStore,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,setUp,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,createIndex,1,1
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,disabled_testTreeBalancing,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,testPruning,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,testIteration,1,1
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,testVisitor,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,visit,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,testRandomRemove,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,testRandomAddRemove,1,0
activemq.activemq-kahadb-store.src.test.java.org.apache.activemq.store.kahadb.disk.index.BTreeIndexTest,testRemovePattern,1,0
