File,Method,isFE,isLM
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.SessionFactory,create,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.SessionFactory,create,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLine,getCursorArgumentIndex,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLine,getCursorArgument,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLine,getArgumentPosition,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLine,getArguments,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLine,getBufferPosition,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLine,getBuffer,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.CommandLoggingFilter,filter,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,getType,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,getWidth,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,getHeight,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,isAnsiSupported,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,isEchoEnabled,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,setEchoEnabled,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,addSignalListener,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,addSignalListener,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,addSignalListener,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Terminal,removeSignalListener,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Signal,get,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Signal,getNumeric,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.History,first,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.History,last,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.History,get,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.History,clear,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Function,execute,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,getCommands,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,getCommand,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,register,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,register,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,unregister,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,getService,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,getServices,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Registry,hasService,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.SignalListener,signal,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Command,getScope,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Command,getName,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Command,getDescription,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Command,getCompleter,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Command,getParser,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Parser,parse,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.console.Parser,preprocess,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.action.lifecycle.Manager,register,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.api.action.lifecycle.Manager,unregister,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,invoke,1,1
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,redirect,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,invoke,1,1
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,redirect,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,getCommandProcessor,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,getRegistry,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,register,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,wrap,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,unregister,1,1
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,create,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,create,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,create,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,stop,1,0
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,execute,1,1
karaf.shell.core.src.main.java.org.apache.karaf.shell.impl.console.SessionFactoryImpl,execute,1,1
